"position","const","created","modified","description","Title","Title.type","Directors","IMDb.Rating","Runtime..mins.","Year","Genres","Num..Votes","Release.Date..month.day.year.","URL","id"
5026,"tt0088001","Mon Apr 22 18:39:23 2013","Mon Apr 22 18:39:23 2013","","Rhinestone","Feature Film","Bob Clark",3.6,111,"1984","comedy, music",5544,"1984-06-20","http://www.imdb.com/title/tt0088001/","0088001"
787,"tt0887883","Mon Apr 22 18:26:35 2013","Mon Apr 22 18:26:35 2013","","Burn After Reading","Feature Film","Ethan Coen, Joel Coen",7,96,"2008","comedy, crime, drama",240033,"2008-08-27","http://www.imdb.com/title/tt0887883/","0887883"
7822,"tt0101761","Mon Apr 29 17:38:36 2013","Mon Apr 29 17:38:36 2013","","The Doors","Feature Film","Oliver Stone",7.2,140,"1991","biography, drama, music, musical",66489,"1991-02-23","http://www.imdb.com/title/tt0101761/","0101761"
3321,"tt0161100","Mon Apr 22 18:34:19 2013","Mon Apr 22 18:34:19 2013","","The Wood","Feature Film","Rick Famuyiwa",6.9,106,"1999","comedy, drama, romance",6336,"1999-07-14","http://www.imdb.com/title/tt0161100/","0161100"
468,"tt0220356","Sun Apr 21 14:35:18 2013","Sun Apr 21 14:35:18 2013","","Bach in Auschwitz","Documentary","Michel Daeron",7.4,104,"1999","documentary",26,"1999-05-06","http://www.imdb.com/title/tt0220356/","0220356"
3330,"tt0211443","Mon Apr 22 18:34:19 2013","Mon Apr 22 18:34:19 2013","","Jason X","Feature Film","Jim Isaac",4.4,91,"2001","horror, sci_fi, thriller",37769,"2001-07-24","http://www.imdb.com/title/tt0211443/","0211443"
2961,"tt0372873","Mon Apr 22 18:33:23 2013","Mon Apr 22 18:33:23 2013","","Dragon Wars: D-War","Feature Film","Hyung-rae Shim",3.6,90,"2007","action, drama, fantasy, horror, thriller",21268,"2007-08-01","http://www.imdb.com/title/tt0372873/","0372873"
7010,"tt0119099","Thu Apr 25 02:59:04 2013","Thu Apr 25 02:59:04 2013","","Fallen","Feature Film","Gregory Hoblit",7,124,"1998","action, crime, drama, fantasy, mystery, thriller",56201,"1998-01-16","http://www.imdb.com/title/tt0119099/","0119099"
807,"tt0247380","Sun Apr 21 15:27:53 2013","Sun Apr 21 15:27:53 2013","","The Gleaners & I","Documentary","Agnès Varda",7.6,82,"2000","documentary",3459,"2000-07-06","http://www.imdb.com/title/tt0247380/","0247380"
2978,"tt1486190","Mon Apr 22 18:33:23 2013","Mon Apr 22 18:33:23 2013","","Tamara Drewe","Feature Film","Stephen Frears",6.2,107,"2010","comedy, drama, romance",16717,"2010-05-18","http://www.imdb.com/title/tt1486190/","1486190"
9394,"tt0903651","Mon Apr 29 19:24:55 2013","Mon Apr 29 19:24:55 2013","","The Thick of It","TV Movie","Christopher Guest",7.9,NA,"2007","comedy",108,"2007","http://www.imdb.com/title/tt0903651/","0903651"
5755,"tt0069847","Mon Apr 22 18:40:51 2013","Mon Apr 22 18:40:51 2013","","Carry on Abroad","Feature Film","Gerald Thomas",6.4,88,"1972","comedy",2376,"1972-12-15","http://www.imdb.com/title/tt0069847/","0069847"
289,"tt0083822","Tue May  8 08:01:49 2012","Tue May  8 08:01:49 2012","","Desperate Lives","TV Movie","Robert Lewis",6,96,"1982","drama",151,"1982-03-03","http://www.imdb.com/title/tt0083822/","0083822"
2044,"tt2233170","Mon Apr 22 18:29:33 2013","Mon Apr 22 18:29:33 2013","","Sand Castles","Feature Film","Clenet Verdi-Rose",7.2,93,"2014","crime, drama, thriller",284,"2014-03-21","http://www.imdb.com/title/tt2233170/","2233170"
7302,"tt0102555","Thu Apr 25 03:00:31 2013","Thu Apr 25 03:00:31 2013","","Not Without My Daughter","Feature Film","Brian Gilbert",6.2,116,"1991","drama, thriller",9357,"1991-01-11","http://www.imdb.com/title/tt0102555/","0102555"
9101,"tt1867525","Mon Apr 29 19:24:19 2013","Mon Apr 29 19:24:19 2013","","Comic Relief: Uptown Downstairs Abbey","TV Movie","Adrian Edmondson",7.7,NA,"2011","comedy, history",112,"2011-03-18","http://www.imdb.com/title/tt1867525/","1867525"
833,"tt1352852","Sun Apr 21 15:27:53 2013","Sun Apr 21 15:27:53 2013","","The Yes Men Fix the World","Documentary","The Yes Men, The Yes Men",7.6,87,"2009","documentary, comedy",4541,"2009-01-18","http://www.imdb.com/title/tt1352852/","1352852"
1080,"tt0099015","Sun Apr 21 15:28:31 2013","Sun Apr 21 15:28:31 2013","","Alle Juden raus!","Documentary","Emanuel Rund",7.2,82,"1991","documentary, biography, history, war",23,"1991-02-21","http://www.imdb.com/title/tt0099015/","0099015"
9145,"tt0273656","Mon Apr 29 19:24:19 2013","Mon Apr 29 19:24:19 2013","","Hornblower: Mutiny","TV Movie","Andrew Grieve",8.2,240,"2001","adventure, drama, war",3104,"2001-04-08","http://www.imdb.com/title/tt0273656/","0273656"
6149,"tt0087835","Mon Apr 22 18:42:13 2013","Mon Apr 22 18:42:13 2013","","Oh, God! You Devil","Feature Film","Paul Bogart",5.3,97,"1984","comedy, fantasy",1816,"1984-11-09","http://www.imdb.com/title/tt0087835/","0087835"
6841,"tt0119643","Mon Apr 22 22:45:13 2013","Mon Apr 22 22:45:13 2013","","Meet Joe Black","Feature Film","Martin Brest",7.1,178,"1998","drama, fantasy, romance",163490,"1998-11-02","http://www.imdb.com/title/tt0119643/","0119643"
7624,"tt0076518","Thu Apr 25 03:01:34 2013","Thu Apr 25 03:01:34 2013","","Rulers of the City","Feature Film","Fernando Di Leo",6,88,"1976","crime, thriller",530,"1976-12-03","http://www.imdb.com/title/tt0076518/","0076518"
675,"tt1713476","Mon Apr 22 18:26:03 2013","Mon Apr 22 18:26:03 2013","","The Bay","Feature Film","Barry Levinson",5.6,84,"2012","horror, sci_fi, thriller",19285,"2012-09-13","http://www.imdb.com/title/tt1713476/","1713476"
8297,"tt0098260","Mon Apr 29 18:16:32 2013","Mon Apr 29 18:16:32 2013","","Scandal","Feature Film","Michael Caton-Jones",6.4,115,"1989","drama, history",3688,"1989-03-03","http://www.imdb.com/title/tt0098260/","0098260"
9094,"tt0120111","Mon Apr 29 19:24:19 2013","Mon Apr 29 19:24:19 2013","","Sharpe's Waterloo","TV Movie","Tom Clegg",8.2,101,"1997","action, adventure, history, war",1615,"1997-05-21","http://www.imdb.com/title/tt0120111/","0120111"
868,"tt0095360","Sun Apr 21 15:27:53 2013","Sun Apr 21 15:27:53 2013","","Imagine: John Lennon","Documentary","Andrew Solt",7.9,100,"1988","documentary, biography, music",3488,"1988-09-29","http://www.imdb.com/title/tt0095360/","0095360"
1801,"tt1986953","Mon Apr 22 18:29:06 2013","Mon Apr 22 18:29:06 2013","","Storage 24","Feature Film","Johannes Roberts",4.4,87,"2012","horror, sci_fi",5415,"2012-06-29","http://www.imdb.com/title/tt1986953/","1986953"
2850,"tt2692904","Mon Apr 22 18:31:50 2013","Mon Apr 22 18:31:50 2013","","Locke","Feature Film","Steven Knight",7.1,85,"2013","drama",82851,"2013-09-02","http://www.imdb.com/title/tt2692904/","2692904"
1529,"tt0345950","Mon Apr 22 18:28:27 2013","Mon Apr 22 18:28:27 2013","","The SpongeBob SquarePants Movie","Feature Film","Stephen Hillenburg, Mark Osborne",7,87,"2004","animation, adventure, comedy, family",56128,"2004-11-14","http://www.imdb.com/title/tt0345950/","0345950"
2690,"tt0104940","Mon Apr 22 18:31:47 2013","Mon Apr 22 18:31:47 2013","","The Muppet Christmas Carol","Feature Film","Brian Henson",7.7,85,"1992","comedy, drama, family, fantasy, musical",33101,"1992-12-11","http://www.imdb.com/title/tt0104940/","0104940"
713,"tt0099423","Mon Apr 22 18:26:34 2013","Mon Apr 22 18:26:34 2013","","Die Hard 2","Feature Film","Renny Harlin",7.1,124,"1990","action, thriller",259822,"1990-07-02","http://www.imdb.com/title/tt0099423/","0099423"
4174,"tt0258816","Mon Apr 22 18:36:46 2013","Mon Apr 22 18:36:46 2013","","The Reckoning","Feature Film","Paul McGuigan",6.6,112,"2002","crime, drama, mystery",4908,"2002","http://www.imdb.com/title/tt0258816/","0258816"
278,"tt1014759","Mon Apr 22 18:23:56 2013","Mon Apr 22 18:23:56 2013","","Alice in Wonderland","Feature Film","Tim Burton",6.5,108,"2010","adventure, family, fantasy",290356,"2010-02-26","http://www.imdb.com/title/tt1014759/","1014759"
919,"tt1135489","Sun Apr 21 15:27:54 2013","Sun Apr 21 15:27:54 2013","","Endgame: Blueprint for Global Enslavement","Documentary","Alex Jones",7.1,139,"2007","documentary",1623,"2007-11-01","http://www.imdb.com/title/tt1135489/","1135489"
7741,"tt0368794","Mon Apr 29 17:38:35 2013","Mon Apr 29 17:38:35 2013","","I'm Not There.","Feature Film","Todd Haynes",7,135,"2007","biography, drama, music",47297,"2007-09-03","http://www.imdb.com/title/tt0368794/","0368794"
5841,"tt0114663","Mon Apr 22 18:41:20 2013","Mon Apr 22 18:41:20 2013","","Three Wishes","Feature Film","Martha Coolidge",6.1,115,"1995","drama, fantasy",2145,"1995-10-27","http://www.imdb.com/title/tt0114663/","0114663"
392,"tt0090605","Mon Apr 22 18:25:33 2013","Mon Apr 22 18:25:33 2013","","Aliens","Feature Film","James Cameron",8.4,137,"1986","action, horror, sci_fi",466400,"1986-07-18","http://www.imdb.com/title/tt0090605/","0090605"
1877,"tt0097239","Mon Apr 22 18:29:30 2013","Mon Apr 22 18:29:30 2013","","Driving Miss Daisy","Feature Film","Bruce Beresford",7.4,99,"1989","comedy, drama",69338,"1989-12-13","http://www.imdb.com/title/tt0097239/","0097239"
7500,"tt0097314","Thu Apr 25 03:01:05 2013","Thu Apr 25 03:01:05 2013","","The Experts","Feature Film","Dave Thomas",4.6,94,"1989","comedy",1847,"1989-01-13","http://www.imdb.com/title/tt0097314/","0097314"
7357,"tt0290210","Thu Apr 25 03:00:32 2013","Thu Apr 25 03:00:32 2013","","Max","Feature Film","Menno Meyjes",6.6,106,"2002","drama, war",6228,"2002-09-10","http://www.imdb.com/title/tt0290210/","0290210"
4626,"tt0093648","Mon Apr 22 18:38:23 2013","Mon Apr 22 18:38:23 2013","","North Shore","Feature Film","William Phelps",6.4,96,"1987","action, drama, romance, sport",1757,"1987-08-14","http://www.imdb.com/title/tt0093648/","0093648"
7821,"tt0070666","Mon Apr 29 17:38:36 2013","Mon Apr 29 17:38:36 2013","","Serpico","Feature Film","Sidney Lumet",7.8,130,"1973","biography, crime, drama, thriller",75468,"1973-12-05","http://www.imdb.com/title/tt0070666/","0070666"
2333,"tt0264395","Mon Apr 22 18:30:54 2013","Mon Apr 22 18:30:54 2013","","Basic","Feature Film","John McTiernan",6.5,98,"2003","action, crime, drama, mystery, thriller",48519,"2003-03-28","http://www.imdb.com/title/tt0264395/","0264395"
4162,"tt0280720","Mon Apr 22 18:36:46 2013","Mon Apr 22 18:36:46 2013","","The Guru","Feature Film","Daisy von Scherler Mayer",5.4,94,"2002","comedy, music, romance",13523,"2002-08-21","http://www.imdb.com/title/tt0280720/","0280720"
6088,"tt0074739","Mon Apr 22 18:41:47 2013","Mon Apr 22 18:41:47 2013","","Kenny & Company","Feature Film","Don Coscarelli",7.6,90,"1976","comedy, drama",352,"1976-11","http://www.imdb.com/title/tt0074739/","0074739"
1070,"tt0088939","Mon Apr 22 18:27:27 2013","Mon Apr 22 18:27:27 2013","","The Color Purple","Feature Film","Steven Spielberg",7.8,154,"1985","drama",58668,"1985-12-16","http://www.imdb.com/title/tt0088939/","0088939"
194,"tt0071400","Mon Jan 16 03:10:40 2012","Mon Jan 16 03:10:59 2012","aka Murder One","Death Sentence","TV Movie","E.W. Swackhamer",5.5,74,"1974","crime, mystery, thriller",176,"1974-10-02","http://www.imdb.com/title/tt0071400/","0071400"
4447,"tt0097235","Mon Apr 22 18:37:49 2013","Mon Apr 22 18:37:49 2013","","The Dream Team","Feature Film","Howard Zieff",6.5,113,"1989","comedy",9654,"1989-04-07","http://www.imdb.com/title/tt0097235/","0097235"
3473,"tt0107501","Mon Apr 22 18:34:44 2013","Mon Apr 22 18:34:44 2013","","The Man Without a Face","Feature Film","Mel Gibson",6.7,115,"1993","drama",22079,"1993-08-25","http://www.imdb.com/title/tt0107501/","0107501"
8298,"tt0384686","Mon Apr 29 18:16:32 2013","Mon Apr 29 18:16:32 2013","","The White Countess","Feature Film","James Ivory",6.7,135,"2005","drama, history, romance, war",5258,"2005-10-30","http://www.imdb.com/title/tt0384686/","0384686"
8006,"tt0076890","Mon Apr 29 17:39:45 2013","Mon Apr 29 17:39:45 2013","","Viva Knievel!","Feature Film","Gordon Douglas",2.7,106,"1977","action, adventure, biography, crime",761,"1977-06","http://www.imdb.com/title/tt0076890/","0076890"
6386,"tt0072435","Mon Apr 22 18:42:42 2013","Mon Apr 22 18:42:42 2013","","Zandy's Bride","Feature Film","Jan Troell",6.2,97,"1974","western",588,"1974-05-19","http://www.imdb.com/title/tt0072435/","0072435"
121,"tt0492429","Sun Apr 14 11:21:47 2013","Sun Apr 14 11:21:47 2013","","I Shouldn't Be Alive","TV Series","",8.1,60,"2005","documentary, biography, drama, history",1319,"2005-10-28","http://www.imdb.com/title/tt0492429/","0492429"
5509,"tt0109770","Mon Apr 22 18:40:20 2013","Mon Apr 22 18:40:20 2013","","The Fantastic Four","Feature Film","Oley Sassone",3.9,90,"1994","action, adventure, sci_fi",3262,"1994","http://www.imdb.com/title/tt0109770/","0109770"
2887,"tt0107969","Mon Apr 22 18:33:22 2013","Mon Apr 22 18:33:22 2013","","Rising Sun","Feature Film","Philip Kaufman",6.2,125,"1993","action, crime, drama, mystery, thriller",33839,"1993-07-30","http://www.imdb.com/title/tt0107969/","0107969"
1029,"tt0400657","Sun Apr 21 15:28:30 2013","Sun Apr 21 15:28:30 2013","","Mojados: Through the Night","Documentary","Tommy Davis",7.3,65,"2004","documentary",183,"2004-03-12","http://www.imdb.com/title/tt0400657/","0400657"
473,"tt0814314","Mon Apr 22 18:25:34 2013","Mon Apr 22 18:25:34 2013","","Seven Pounds","Feature Film","Gabriele Muccino",7.7,123,"2008","drama, romance",225130,"2008-12-19","http://www.imdb.com/title/tt0814314/","0814314"
6573,"tt0076320","Mon Apr 22 18:43:42 2013","Mon Apr 22 18:43:42 2013","","The Littlest Horse Thieves","Feature Film","Charles Jarrott",7,104,"1976","family, drama",199,"1976-05-26","http://www.imdb.com/title/tt0076320/","0076320"
2329,"tt0265349","Mon Apr 22 18:30:53 2013","Mon Apr 22 18:30:53 2013","","The Mothman Prophecies","Feature Film","Mark Pellington",6.5,119,"2002","drama, horror, mystery, thriller",62241,"2002-01-25","http://www.imdb.com/title/tt0265349/","0265349"
7488,"tt0081470","Thu Apr 25 03:01:05 2013","Thu Apr 25 03:01:05 2013","","The Sea Wolves","Feature Film","Andrew V. McLaglen",6.3,120,"1980","action, history, war",2814,"1980-07-03","http://www.imdb.com/title/tt0081470/","0081470"
2620,"tt0443456","Mon Apr 22 18:31:22 2013","Mon Apr 22 18:31:22 2013","","Breaking and Entering","Feature Film","Anthony Minghella",6.6,120,"2006","drama, romance",19714,"2006-09-13","http://www.imdb.com/title/tt0443456/","0443456"
6045,"tt0102813","Mon Apr 22 18:41:47 2013","Mon Apr 22 18:41:47 2013","","Rover Dangerfield","Feature Film","Jim George, Bob Seeley",6,74,"1991","animation, family, comedy",2280,"1991-07-01","http://www.imdb.com/title/tt0102813/","0102813"
5964,"tt0084395","Mon Apr 22 18:41:46 2013","Mon Apr 22 18:41:46 2013","a.k.a ""National lampoon's Class Reunion""","Class Reunion","Feature Film","Michael Miller",4.5,84,"1982","comedy, horror",1562,"1982-10-29","http://www.imdb.com/title/tt0084395/","0084395"
1092,"tt0116209","Mon Apr 22 18:27:27 2013","Mon Apr 22 18:27:27 2013","","The English Patient","Feature Film","Anthony Minghella",7.4,162,"1996","drama, romance, war",137126,"1996-10","http://www.imdb.com/title/tt0116209/","0116209"
8389,"tt0107096","Mon Apr 29 18:16:33 2013","Mon Apr 29 18:16:33 2013","","Heaven & Earth","Feature Film","Oliver Stone",6.8,140,"1993","action, biography, drama, history, war",10468,"1993-12-25","http://www.imdb.com/title/tt0107096/","0107096"
1756,"tt0434139","Mon Apr 22 18:29:05 2013","Mon Apr 22 18:29:05 2013","","The Last Kiss","Feature Film","Tony Goldwyn",6.5,115,"2006","comedy, drama, romance",37770,"2006-09-10","http://www.imdb.com/title/tt0434139/","0434139"
8637,"tt0406265","Mon Apr 29 19:23:24 2013","Mon Apr 29 19:23:24 2013","","Their Eyes Were Watching God","TV Movie","Darnell Martin",6.6,113,"2005","drama, romance",2160,"2005-03-06","http://www.imdb.com/title/tt0406265/","0406265"
5702,"tt0263386","Mon Apr 22 18:40:50 2013","Mon Apr 22 18:40:50 2013","","Going Greek","Feature Film","Justin Zackham",4.8,90,"2001","comedy, drama, romance, sport",1237,"2001-08-04","http://www.imdb.com/title/tt0263386/","0263386"
6518,"tt0108334","Mon Apr 22 18:43:10 2013","Mon Apr 22 18:43:10 2013","","Three of Hearts","Feature Film","Yurek Bogayevicz",5.5,102,"1993","comedy, romance",1628,"1993-04-30","http://www.imdb.com/title/tt0108334/","0108334"
8101,"tt0437236","Mon Apr 29 17:39:46 2013","Mon Apr 29 17:39:46 2013","","Hubert Selby Jr: It/ll Be Better Tomorrow","Documentary","Michael W. Dean, Kenneth Shiffrin",7.5,79,"2005","documentary, biography",271,"2005-09-03","http://www.imdb.com/title/tt0437236/","0437236"
6443,"tt0075950","Mon Apr 22 18:43:09 2013","Mon Apr 22 18:43:09 2013","","The Domino Principle","Feature Film","Stanley Kramer",5.7,100,"1977","thriller, drama",1460,"1977-03-23","http://www.imdb.com/title/tt0075950/","0075950"
8653,"tt0345591","Mon Apr 29 19:23:24 2013","Mon Apr 29 19:23:24 2013","","Love Comes Softly","TV Movie","Michael Landon Jr.",7.5,84,"2003","romance, western, drama",4386,"2003-04-13","http://www.imdb.com/title/tt0345591/","0345591"
2007,"tt1017464","Mon Apr 22 18:29:32 2013","Mon Apr 22 18:29:32 2013","","The Tortured","Feature Film","Robert Lieberman",5.5,79,"2010","horror, thriller",5587,"2010-08-28","http://www.imdb.com/title/tt1017464/","1017464"
4576,"tt0098051","Mon Apr 22 18:37:51 2013","Mon Apr 22 18:37:51 2013","","The Package","Feature Film","Andrew Davis",6.4,108,"1989","action, crime, drama, thriller",6247,"1989-08-25","http://www.imdb.com/title/tt0098051/","0098051"
5704,"tt0162360","Mon Apr 22 18:40:50 2013","Mon Apr 22 18:40:50 2013","","Happy, Texas","Feature Film","Mark Illsley",6.3,98,"1999","comedy, crime, romance",8646,"1999-01","http://www.imdb.com/title/tt0162360/","0162360"
7264,"tt0455805","Thu Apr 25 03:00:31 2013","Thu Apr 25 03:00:31 2013","","Then She Found Me","Feature Film","Helen Hunt",6,100,"2007","comedy, drama, romance",8320,"2007-09-07","http://www.imdb.com/title/tt0455805/","0455805"
6478,"tt0084477","Mon Apr 22 18:43:10 2013","Mon Apr 22 18:43:10 2013","","Partners","Feature Film","James Burrows",5,93,"1982","comedy, crime",855,"1982-04-30","http://www.imdb.com/title/tt0084477/","0084477"
817,"tt0282864","Sun Apr 21 15:27:53 2013","Sun Apr 21 15:27:53 2013","","Promises","Documentary","B.Z. Goldberg, Justine Shapiro",8.5,106,"2001","documentary",2362,"2001-01-30","http://www.imdb.com/title/tt0282864/","0282864"
1929,"tt0246989","Mon Apr 22 18:29:31 2013","Mon Apr 22 18:29:31 2013","","Tomcats","Feature Film","Gregory Poirier",5.3,95,"2001","comedy",15236,"2001-03-30","http://www.imdb.com/title/tt0246989/","0246989"
648,"tt1319726","Sun Apr 21 15:27:26 2013","Sun Apr 21 15:27:26 2013","","The Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers","Documentary","Judith Ehrlich, Rick Goldsmith",7.8,92,"2009","documentary",1942,"2009-09-11","http://www.imdb.com/title/tt1319726/","1319726"
8924,"tt0172348","Mon Apr 29 19:23:54 2013","Mon Apr 29 19:23:54 2013","","Introducing Dorothy Dandridge","TV Movie","Martha Coolidge",7.1,120,"1999","biography, drama, music, romance",2569,"1999-08-14","http://www.imdb.com/title/tt0172348/","0172348"
1115,"tt0292506","Mon Apr 22 18:27:27 2013","Mon Apr 22 18:27:27 2013","","The Recruit","Feature Film","Roger Donaldson",6.6,115,"2003","action, crime, drama, romance, thriller",110238,"2003-01-25","http://www.imdb.com/title/tt0292506/","0292506"
9307,"tt0082608","Mon Apr 29 19:24:54 2013","Mon Apr 29 19:24:54 2013","","Kent State","TV Movie","James Goldstone",7.1,180,"1981","drama, history",134,"1981-02-08","http://www.imdb.com/title/tt0082608/","0082608"
1187,"tt1615918","Mon Apr 22 18:27:28 2013","Mon Apr 22 18:27:28 2013","","Alvin and the Chipmunks: Chipwrecked","Feature Film","Mike Mitchell",4.4,87,"2011","animation, adventure, comedy, family, fantasy, music",21501,"2011-12-14","http://www.imdb.com/title/tt1615918/","1615918"
9160,"tt0468445","Mon Apr 29 19:24:19 2013","Mon Apr 29 19:24:19 2013","","The Amazing Screw-On Head","Short Film","Chris Prynoski",8,22,"2006","animation, action, comedy, horror",1505,"2006-08-20","http://www.imdb.com/title/tt0468445/","0468445"
9903,"tt2374684","Thu Feb 12 09:05:51 2015","Thu Feb 12 09:05:51 2015","","The Wonder","Feature Film","Norman Stone",NA,NA,"????","adventure, family, fantasy",NA,"","http://www.imdb.com/title/tt2374684/","2374684"
606,"tt0096257","Sun Apr 21 15:27:25 2013","Sun Apr 21 15:27:25 2013","","The Thin Blue Line","Documentary","Errol Morris",8.1,103,"1988","documentary, crime, drama, mystery",14359,"1988-08-25","http://www.imdb.com/title/tt0096257/","0096257"
3578,"tt0087089","Mon Apr 22 18:35:15 2013","Mon Apr 22 18:35:15 2013","","The Cotton Club","Feature Film","Francis Coppola",6.5,127,"1984","crime, drama, music",12450,"1984-12-10","http://www.imdb.com/title/tt0087089/","0087089"
