position,const,created,modified,description,Title,Title type,Directors,IMDb Rating,Runtime (mins),Year,Genres,Num. Votes,Release Date (month/day/year),URL
11,tt0405159,Thu Jul 19 11:09:06 2012,Thu Jul 19 11:09:06 2012,,Million Dollar Baby,Feature Film,Clint Eastwood,8.1,132,2004,"drama, sport",402676,12/15/04,http://www.imdb.com/title/tt0405159/
12,tt0167260,Thu Jul 19 11:09:06 2012,Thu Jul 19 11:09:06 2012,,The Lord of the Rings: The Return of the King,Feature Film,Peter Jackson,8.9,201,2003,"adventure, fantasy",1018616,12/1/03,http://www.imdb.com/title/tt0167260/
13,tt0299658,Thu Jul 19 11:09:06 2012,Thu Jul 19 11:09:06 2012,,Chicago,Feature Film,Rob Marshall,7.2,113,2002,"comedy, crime, musical",154615,12/10/02,http://www.imdb.com/title/tt0299658/
14,tt0268978,Thu Jul 19 11:09:06 2012,Thu Jul 19 11:09:06 2012,,A Beautiful Mind,Feature Film,Ron Howard,8.2,135,2001,"biography, drama",492086,12/13/01,http://www.imdb.com/title/tt0268978/
15,tt0172495,Thu Jul 19 11:09:06 2012,Thu Jul 19 11:09:06 2012,,Gladiator,Feature Film,Ridley Scott,8.5,155,2000,"action, drama",812428,5/1/00,http://www.imdb.com/title/tt0172495/
16,tt0169547,Thu Jul 19 11:09:06 2012,Thu Jul 19 11:09:06 2012,,American Beauty,Feature Film,Sam Mendes,8.4,122,1999,drama,701928,9/8/99,http://www.imdb.com/title/tt0169547/
17,tt0138097,Thu Jul 19 11:09:06 2012,Thu Jul 19 11:09:06 2012,,Shakespeare in Love,Feature Film,John Madden,7.2,123,1998,"comedy, drama, romance",158248,12/3/98,http://www.imdb.com/title/tt0138097/
18,tt0120338,Thu Jul 19 11:09:06 2012,Thu Jul 19 11:09:06 2012,,Titanic,Feature Film,James Cameron,7.7,194,1997,"drama, romance",669605,11/1/97,http://www.imdb.com/title/tt0120338/
19,tt0116209,Thu Jul 19 11:09:06 2012,Thu Jul 19 11:09:06 2012,,The English Patient,Feature Film,Anthony Minghella,7.4,162,1996,"drama, romance, war",126077,1996-10,http://www.imdb.com/title/tt0116209/
20,tt0112573,Thu Jul 19 11:09:06 2012,Thu Jul 19 11:09:06 2012,,Braveheart,Feature Film,Mel Gibson,8.4,177,1995,"action, biography, drama, history, war",621996,5/18/95,http://www.imdb.com/title/tt0112573/
21,tt0109830,Thu Jul 19 11:09:06 2012,Thu Jul 19 11:09:06 2012,,Forrest Gump,Feature Film,Robert Zemeckis,8.8,142,1994,"drama, romance",1008188,6/23/94,http://www.imdb.com/title/tt0109830/
22,tt0108052,Thu Jul 19 11:09:06 2012,Thu Jul 19 11:09:06 2012,,Schindler's List,Feature Film,Steven Spielberg,8.9,195,1993,"biography, drama, history",721214,11/30/93,http://www.imdb.com/title/tt0108052/
23,tt0105695,Thu Jul 19 11:09:06 2012,Thu Jul 19 11:09:06 2012,,Unforgiven,Feature Film,Clint Eastwood,8.3,131,1992,western,237833,8/3/92,http://www.imdb.com/title/tt0105695/
24,tt0102926,Thu Jul 19 11:09:06 2012,Thu Jul 19 11:09:06 2012,,The Silence of the Lambs,Feature Film,Jonathan Demme,8.6,118,1991,"drama, thriller",720476,1/30/91,http://www.imdb.com/title/tt0102926/
25,tt0099348,Thu Jul 19 11:09:06 2012,Thu Jul 19 11:09:06 2012,,Dances with Wolves,Feature Film,Kevin Costner,8,181,1990,"adventure, drama, western",163809,10/19/90,http://www.imdb.com/title/tt0099348/
26,tt0097239,Thu Jul 19 11:09:06 2012,Thu Jul 19 11:09:06 2012,,Driving Miss Daisy,Feature Film,Bruce Beresford,7.4,99,1989,"comedy, drama",61816,12/13/89,http://www.imdb.com/title/tt0097239/
27,tt0095953,Thu Jul 19 11:09:06 2012,Thu Jul 19 11:09:06 2012,,Rain Man,Feature Film,Barry Levinson,8,133,1988,drama,347928,12/12/88,http://www.imdb.com/title/tt0095953/
28,tt0093389,Thu Jul 19 11:09:06 2012,Thu Jul 19 11:09:06 2012,,The Last Emperor,Feature Film,Bernardo Bertolucci,7.8,163,1987,"biography, drama, history",61630,10/4/87,http://www.imdb.com/title/tt0093389/
29,tt0091763,Thu Jul 19 11:09:06 2012,Thu Jul 19 11:09:06 2012,,Platoon,Feature Film,Oliver Stone,8.1,120,1986,"drama, war",250989,12/19/86,http://www.imdb.com/title/tt0091763/
30,tt0089755,Thu Jul 19 11:09:06 2012,Thu Jul 19 11:09:06 2012,,Out of Africa,Feature Film,Sydney Pollack,7.2,161,1985,"biography, drama, romance",45011,12/10/85,http://www.imdb.com/title/tt0089755/
31,tt0086879,Thu Jul 19 11:09:06 2012,Thu Jul 19 11:09:06 2012,,Amadeus,Feature Film,Milos Forman,8.4,160,1984,"biography, drama, music",229504,9/6/84,http://www.imdb.com/title/tt0086879/
32,tt0086425,Thu Jul 19 11:09:06 2012,Thu Jul 19 11:09:06 2012,,Terms of Endearment,Feature Film,James L. Brooks,7.4,132,1983,"comedy, drama",35277,11/20/83,http://www.imdb.com/title/tt0086425/
33,tt0083987,Thu Jul 19 11:09:06 2012,Thu Jul 19 11:09:06 2012,,Gandhi,Feature Film,Richard Attenborough,8.1,191,1982,"biography, drama, history",144018,11/30/82,http://www.imdb.com/title/tt0083987/
34,tt0082158,Thu Jul 19 11:09:06 2012,Thu Jul 19 11:09:06 2012,,Chariots of Fire,Feature Film,Hugh Hudson,7.2,124,1981,"drama, history, sport",34987,3/30/81,http://www.imdb.com/title/tt0082158/
35,tt0081283,Thu Jul 19 11:09:06 2012,Thu Jul 19 11:09:06 2012,,Ordinary People,Feature Film,Robert Redford,7.8,124,1980,drama,31237,9/19/80,http://www.imdb.com/title/tt0081283/
36,tt0079417,Thu Jul 19 11:09:06 2012,Thu Jul 19 11:09:06 2012,,Kramer vs. Kramer,Feature Film,Robert Benton,7.8,105,1979,drama,85320,12/19/79,http://www.imdb.com/title/tt0079417/
37,tt0077416,Thu Jul 19 11:09:06 2012,Thu Jul 19 11:09:06 2012,,The Deer Hunter,Feature Film,Michael Cimino,8.2,182,1978,"drama, war",201157,12/8/78,http://www.imdb.com/title/tt0077416/
38,tt0075686,Thu Jul 19 11:09:06 2012,Thu Jul 19 11:09:06 2012,,Annie Hall,Feature Film,Woody Allen,8.1,93,1977,"comedy, drama, romance",162372,4/20/77,http://www.imdb.com/title/tt0075686/
39,tt0075148,Thu Jul 19 11:09:06 2012,Thu Jul 19 11:09:06 2012,,Rocky,Feature Film,John G. Avildsen,8.1,119,1976,"drama, sport",299283,11/21/76,http://www.imdb.com/title/tt0075148/
40,tt0073486,Thu Jul 19 11:09:06 2012,Thu Jul 19 11:09:06 2012,,One Flew Over the Cuckoo's Nest,Feature Film,Milos Forman,8.7,133,1975,drama,578686,11/19/75,http://www.imdb.com/title/tt0073486/
41,tt0071562,Thu Jul 19 11:09:06 2012,Thu Jul 19 11:09:06 2012,,The Godfather: Part II,Feature Film,Francis Ford Coppola,9.1,200,1974,"crime, drama",656137,12/12/74,http://www.imdb.com/title/tt0071562/
42,tt0070735,Thu Jul 19 11:09:06 2012,Thu Jul 19 11:09:06 2012,,The Sting,Feature Film,George Roy Hill,8.4,129,1973,"comedy, crime, drama",148716,12/25/73,http://www.imdb.com/title/tt0070735/
43,tt0068646,Thu Jul 19 11:09:07 2012,Thu Jul 19 11:09:07 2012,,The Godfather,Feature Film,Francis Ford Coppola,9.2,175,1972,"crime, drama",977916,3/15/72,http://www.imdb.com/title/tt0068646/
44,tt0067116,Thu Jul 19 11:09:07 2012,Thu Jul 19 11:09:07 2012,,The French Connection,Feature Film,William Friedkin,7.8,104,1971,"action, crime, thriller",70288,10/7/71,http://www.imdb.com/title/tt0067116/
45,tt0066206,Thu Jul 19 11:09:07 2012,Thu Jul 19 11:09:07 2012,,Patton,Feature Film,Franklin J. Schaffner,8,172,1970,"biography, drama, war",69458,2/4/70,http://www.imdb.com/title/tt0066206/
46,tt0064665,Thu Jul 19 11:09:07 2012,Thu Jul 19 11:09:07 2012,,Midnight Cowboy,Feature Film,John Schlesinger,8,113,1969,drama,68270,5/25/69,http://www.imdb.com/title/tt0064665/
47,tt0063385,Thu Jul 19 11:09:07 2012,Thu Jul 19 11:09:07 2012,,Oliver!,Feature Film,Carol Reed,7.5,153,1968,"drama, family, musical",21966,9/26/68,http://www.imdb.com/title/tt0063385/
48,tt0061811,Thu Jul 19 11:09:07 2012,Thu Jul 19 11:09:07 2012,,In the Heat of the Night,Feature Film,Norman Jewison,8,109,1967,"crime, drama, mystery, thriller",43627,8/2/67,http://www.imdb.com/title/tt0061811/
49,tt0060665,Thu Jul 19 11:09:07 2012,Thu Jul 19 11:09:07 2012,,A Man for All Seasons,Feature Film,Fred Zinnemann,8,120,1966,"biography, drama, history",21111,12/12/66,http://www.imdb.com/title/tt0060665/
50,tt0059742,Thu Jul 19 11:09:07 2012,Thu Jul 19 11:09:07 2012,,The Sound of Music,Feature Film,Robert Wise,8,174,1965,"biography, drama, family, musical, romance",127324,3/2/65,http://www.imdb.com/title/tt0059742/
51,tt0058385,Thu Jul 19 11:09:07 2012,Thu Jul 19 11:09:07 2012,,My Fair Lady,Feature Film,George Cukor,7.9,170,1964,"drama, family, musical, romance",58966,10/21/64,http://www.imdb.com/title/tt0058385/
52,tt0057590,Thu Jul 19 11:09:07 2012,Thu Jul 19 11:09:07 2012,,Tom Jones,Feature Film,Tony Richardson,6.8,128,1963,"adventure, comedy, history",7437,1963-09,http://www.imdb.com/title/tt0057590/
53,tt0056172,Thu Jul 19 11:09:07 2012,Thu Jul 19 11:09:07 2012,,Lawrence of Arabia,Feature Film,David Lean,8.4,216,1962,"adventure, biography, drama, history, war",162881,12/10/62,http://www.imdb.com/title/tt0056172/
54,tt0055614,Thu Jul 19 11:09:07 2012,Thu Jul 19 11:09:07 2012,,West Side Story,Feature Film,"Jerome Robbins, Robert Wise",7.6,152,1961,"crime, drama, musical, romance, thriller",63138,10/18/61,http://www.imdb.com/title/tt0055614/
55,tt0053604,Thu Jul 19 11:09:07 2012,Thu Jul 19 11:09:07 2012,,The Apartment,Feature Film,Billy Wilder,8.3,125,1960,"comedy, drama, romance",91663,6/15/60,http://www.imdb.com/title/tt0053604/
56,tt0052618,Thu Jul 19 11:09:07 2012,Thu Jul 19 11:09:07 2012,,Ben-Hur,Feature Film,William Wyler,8.1,212,1959,"adventure, drama",134943,11/18/59,http://www.imdb.com/title/tt0052618/
57,tt0051658,Thu Jul 19 11:09:07 2012,Thu Jul 19 11:09:07 2012,,Gigi,Feature Film,Vincente Minnelli,6.9,115,1958,"comedy, musical, romance",12848,5/15/58,http://www.imdb.com/title/tt0051658/
58,tt0050212,Thu Jul 19 11:09:07 2012,Thu Jul 19 11:09:07 2012,,The Bridge on the River Kwai,Feature Film,David Lean,8.3,161,1957,"adventure, drama, war",126876,10/2/57,http://www.imdb.com/title/tt0050212/
59,tt0048960,Thu Jul 19 11:09:07 2012,Thu Jul 19 11:09:07 2012,,Around the World in Eighty Days,Feature Film,Michael Anderson,6.8,175,1956,"adventure, comedy, family, romance",15596,10/17/56,http://www.imdb.com/title/tt0048960/
60,tt0048356,Thu Jul 19 11:09:07 2012,Thu Jul 19 11:09:07 2012,,Marty,Feature Film,Delbert Mann,7.8,90,1955,"drama, romance",13496,4/11/55,http://www.imdb.com/title/tt0048356/
61,tt0047296,Thu Jul 19 11:09:07 2012,Thu Jul 19 11:09:07 2012,,On the Waterfront,Feature Film,Elia Kazan,8.3,108,1954,"crime, drama",85411,6/22/54,http://www.imdb.com/title/tt0047296/
62,tt0045793,Thu Jul 19 11:09:07 2012,Thu Jul 19 11:09:07 2012,,From Here to Eternity,Feature Film,Fred Zinnemann,7.8,118,1953,"drama, romance, war",30219,8/5/53,http://www.imdb.com/title/tt0045793/
63,tt0044672,Thu Jul 19 11:09:07 2012,Thu Jul 19 11:09:07 2012,,The Greatest Show on Earth,Feature Film,Cecil B. DeMille,6.7,152,1952,"drama, family, romance",8309,1/10/52,http://www.imdb.com/title/tt0044672/
64,tt0043278,Thu Jul 19 11:09:07 2012,Thu Jul 19 11:09:07 2012,,An American in Paris,Feature Film,Vincente Minnelli,7.3,113,1951,"musical, romance",19005,8/26/51,http://www.imdb.com/title/tt0043278/
65,tt0042192,Thu Jul 19 11:09:07 2012,Thu Jul 19 11:09:07 2012,,All About Eve,Feature Film,Joseph L. Mankiewicz,8.4,138,1950,drama,70958,10/13/50,http://www.imdb.com/title/tt0042192/
66,tt0041113,Thu Jul 19 11:09:07 2012,Thu Jul 19 11:09:07 2012,,All the King's Men,Feature Film,Robert Rossen,7.6,110,1949,drama,8540,11/8/49,http://www.imdb.com/title/tt0041113/
67,tt0040416,Thu Jul 19 11:09:07 2012,Thu Jul 19 11:09:07 2012,,Hamlet,Feature Film,Laurence Olivier,7.9,155,1948,drama,10205,5/6/48,http://www.imdb.com/title/tt0040416/
68,tt0039416,Thu Jul 19 11:09:07 2012,Thu Jul 19 11:09:07 2012,,Gentleman's Agreement,Feature Film,Elia Kazan,7.4,118,1947,"drama, romance",9464,11/11/47,http://www.imdb.com/title/tt0039416/
69,tt0036868,Thu Jul 19 11:09:07 2012,Thu Jul 19 11:09:07 2012,,The Best Years of Our Lives,Feature Film,William Wyler,8.2,172,1946,"drama, romance, war",34429,11/21/46,http://www.imdb.com/title/tt0036868/
70,tt0037884,Thu Jul 19 11:09:07 2012,Thu Jul 19 11:09:07 2012,,The Lost Weekend,Feature Film,Billy Wilder,8.1,101,1945,drama,21921,11/16/45,http://www.imdb.com/title/tt0037884/
71,tt0036872,Thu Jul 19 11:09:07 2012,Thu Jul 19 11:09:07 2012,,Going My Way,Feature Film,Leo McCarey,7.3,126,1944,"comedy, drama, music, musical",6431,5/3/44,http://www.imdb.com/title/tt0036872/
72,tt0034583,Thu Jul 19 11:09:07 2012,Thu Jul 19 11:09:07 2012,,Casablanca,Feature Film,Michael Curtiz,8.6,102,1942,"drama, romance, war",337456,11/26/42,http://www.imdb.com/title/tt0034583/
73,tt0035093,Thu Jul 19 11:09:07 2012,Thu Jul 19 11:09:07 2012,,Mrs. Miniver,Feature Film,William Wyler,7.7,134,1942,"drama, romance, war",10020,6/4/42,http://www.imdb.com/title/tt0035093/
74,tt0033729,Thu Jul 19 11:09:07 2012,Thu Jul 19 11:09:07 2012,,How Green Was My Valley,Feature Film,John Ford,7.8,118,1941,"drama, family",14043,10/28/41,http://www.imdb.com/title/tt0033729/
75,tt0032976,Thu Jul 19 11:09:07 2012,Thu Jul 19 11:09:07 2012,,Rebecca,Feature Film,Alfred Hitchcock,8.2,130,1940,"mystery, thriller",74960,3/27/40,http://www.imdb.com/title/tt0032976/
76,tt0031381,Thu Jul 19 11:09:07 2012,Thu Jul 19 11:09:07 2012,,Gone with the Wind,Feature Film,Victor Fleming,8.2,238,1939,"drama, romance, war",184886,12/15/39,http://www.imdb.com/title/tt0031381/
77,tt0030993,Thu Jul 19 11:09:07 2012,Thu Jul 19 11:09:07 2012,,You Can't Take It With You,Feature Film,Frank Capra,8,126,1938,"comedy, romance",15923,8/23/38,http://www.imdb.com/title/tt0030993/
78,tt0029146,Thu Jul 19 11:09:07 2012,Thu Jul 19 11:09:07 2012,,The Life of Emile Zola,Feature Film,William Dieterle,7.4,116,1937,"biography, drama",4220,8/11/37,http://www.imdb.com/title/tt0029146/
79,tt0027698,Thu Jul 19 11:09:07 2012,Thu Jul 19 11:09:07 2012,,The Great Ziegfeld,Feature Film,Robert Z. Leonard,6.9,176,1936,"biography, drama, musical, romance",4344,3/22/36,http://www.imdb.com/title/tt0027698/
80,tt0026752,Thu Jul 19 11:09:07 2012,Thu Jul 19 11:09:07 2012,,Mutiny on the Bounty,Feature Film,Frank Lloyd,7.8,132,1935,"adventure, drama, history",14422,11/8/35,http://www.imdb.com/title/tt0026752/
81,tt0025316,Thu Jul 19 13:38:03 2012,Thu Jul 19 13:38:03 2012,,It Happened One Night,Feature Film,Frank Capra,8.2,105,1934,"comedy, romance",54173,2/22/34,http://www.imdb.com/title/tt0025316/
82,tt0023876,Thu Jul 19 11:09:07 2012,Thu Jul 19 11:09:07 2012,,Cavalcade,Feature Film,Frank Lloyd,6.1,112,1933,"drama, romance, war",2603,1/5/33,http://www.imdb.com/title/tt0023876/
83,tt0022958,Thu Jul 19 11:09:07 2012,Thu Jul 19 11:09:07 2012,,Grand Hotel,Feature Film,Edmund Goulding,7.6,112,1932,"drama, romance",11410,4/12/32,http://www.imdb.com/title/tt0022958/
84,tt0021746,Thu Jul 19 11:09:07 2012,Thu Jul 19 11:09:07 2012,,Cimarron,Feature Film,,6,123,1931,"drama, western",3090,1/26/31,http://www.imdb.com/title/tt0021746/
85,tt0020629,Thu Jul 19 11:09:07 2012,Thu Jul 19 11:09:07 2012,,All Quiet on the Western Front,Feature Film,Lewis Milestone,8.1,136,1930,"drama, war",43629,4/21/30,http://www.imdb.com/title/tt0020629/
86,tt0019729,Thu Jul 19 11:09:07 2012,Thu Jul 19 11:09:07 2012,,The Broadway Melody,Feature Film,Harry Beaumont,6.5,100,1929,"musical, romance",3943,2/1/29,http://www.imdb.com/title/tt0019729/
87,tt0018578,Thu Jul 19 11:09:07 2012,Thu Jul 19 11:09:07 2012,,Wings,Feature Film,William A. Wellman,7.8,144,1927,"drama, romance, war, action",6775,5/19/27,http://www.imdb.com/title/tt0018578/
